nodeIdx,nodeName,nodeType,"nodeFloor	",
ST01,1호계단,3,"B6,B5,B4",(나선)
ST02,2호계단,3,"B6,B5,B4",(조감도상 B6중앙)
ST03,3호계단,3,"B5,B4,B3,B2,B1,1,2,3,4,5,6,7,8,9,10",(조감도상 B5상단)
ST04,4호계단,3,"B4,B3,B2,B1,1",(뚜레쥬르 앞 계단)
ST05,5호계단,3,"B3,B2,B1,1,2,3,4,5,6,7,8,9",(B3 센터장실 앞 계단)
ST06,6호계단,3,"B3,B2,B1,1,2,3,4,5,6,7,8,9,10,11,12",(B3 개발팀 옆 계단)
ST07,7호계단,3,"B3,B2,B1",(B3 SW융합 PC실4 옆 계단)
ST08,8호계단,3,"B2,B1,2,3,4,5,6,7,8,9","(B2 응원단 옆 계단 1층은 야외로 조감도상에 적혀있음)"
ST09,9호계단,3,"1,2,3,4,5,6,7,8,9",(1층 정문 앞 계단)
ST10,10호계단,3,"1,2,3,4,5,6,7,8,9",(1층중앙계단)
ST11,11호계단,3,"1,2,3,4,5,6,7,8,9,10,11,12",(1층 카페테리아 옆 계단)
ST12,12호계단,3,"1,2,3,4,5,6,7,8,9,10,11,12",(1층 104호 창고 옆 계단)
