nodeIdx,nodeName,nodeType
B601,B601,1
B602,B602,1
B603,B603,1
B501,B501,1
B502,B502,1
B503,전기실,1
B505,기계실,1
B302,관리실,1
B303,B303,1
B304,장애학생지원센터,1
B305,건강센터,1
B306,인권센터,1
B307,기도실,1
B308,B308,1
B309,App개발특성화센터,1
B310,B310,1
B311,B311,1
B312,B312,1
B313,B313,1
B201,중앙헤럴드,1
B202,UBS,1
B203,응원단,1
B204,제작자료실,1
B205,중대신문사,1
B206,B206,1
B207,예비군연대,1
B208,학생생활상담센터,1
B209,B209,1
B210,B210,1
B211,B211,1
B212,3D크리에이티브랩,1
B213,B213,1
B214,B214,1
B215,B215,1
B101,B101,1
B102,안전관리팀,1
B103,시설관리처장,1
B104,시설팀,1
B105,B105,1
B108,B108,1
B109,B109,1
B110,B110,1
B111,B111,1
B112,노동조합위원장실,1
B113,미래융합원,1
B114,프로젝트공간,1
B115,프로젝트공간,1
B116,프로젝트공간,1
B117,프로젝트공간,1
B118,프로젝트공간,1
B119,창의연구단,1
B120,창의연구단,1
0630,박수원교수실,1
0629,박광현교수실,1
0631,이민하한진영교수실,1
0628,홍원길김영주교수실,1
0632,이현정이민정교수실,1
0627,최우준교수실,1
0633,노종석교수실,1
0626,김상욱강취택교수실,1
0634,정진곤교수실,1
0625,홍철호교수실,1
0635,이한림교수실,1
0624,0624,1
0636,박세현교수실,1
0637,권혁인교수실,1
0638,정태경교수실,1
0639,양원영교수실,1
0640,고중혁교수실,1
0641,박성규교수실,1
0623,0623,1
0601,0601,1
0602,0602,1
0603,0603,1
0604,협상실습실,1
0605,0605,1
0606,경제금융고시반1,1
0607,컴퓨터실습실1,1
0611,0611,1
0612,0612,1
0613,0613,1
0608,광고홍보학과학생회실,1
0609,국제물류학과학생회실,1
0610,팀플실3,1
0614,교수회의실,1
0615,전자전기공학부사무실,1
0616,0616,1
0617,0617,1
0618,0618,1
0619,0619,1
0620,0620,1
0621,0621,1
0622,0622,1
0531,최혜진교수실,1
0530,김석민교수실,1
0532,이성민교수실,1
0529,인정현교수실,1
0533,신동준교수실,1
