Source,Dest,Weight,비고,
630,EV0606,20,강의실 A,엘베 d
629,EV0606,20,,
631,EV0606,20,,
628,EV0606,20,,
632,EV0606,20,,
627,EV0606,20,,
633,EV0606,20,,
626,EV0606,20,,
634,EV0606,20,,
625,EV0606,20,,
635,EV0606,20,,
624,EV0606,20,,
636,EV0606,20,,
637,EV0606,20,,
638,EV0606,20,,
639,EV0606,20,,
640,EV0606,20,,
641,EV0606,20,,
623,EV0606,20,,
630,EV0706,20,,
629,EV0706,20,,
631,EV0706,20,,
628,EV0706,20,,
632,EV0706,20,,
627,EV0706,20,,
633,EV0706,20,,
626,EV0706,20,,
634,EV0706,20,,
625,EV0706,20,,
635,EV0706,20,,
624,EV0706,20,,
636,EV0706,20,,
637,EV0706,20,,
638,EV0706,20,,
639,EV0706,20,,
640,EV0706,20,,
641,EV0706,20,,
623,EV0706,20,,
630,EV1006,20,,
629,EV1006,20,,
631,EV1006,20,,
628,EV1006,20,,
632,EV1006,20,,
627,EV1006,20,,
633,EV1006,20,,
626,EV1006,20,,
634,EV1006,20,,
625,EV1006,20,,
635,EV1006,20,,
624,EV1006,20,,
636,EV1006,20,,
637,EV1006,20,,
638,EV1006,20,,
639,EV1006,20,,
640,EV1006,20,,
641,EV1006,20,,
623,EV1006,20,,
630,ST1106,20,,
629,ST1106,20,,
631,ST1106,20,,
628,ST1106,20,,
632,ST1106,20,,
627,ST1106,20,,
633,ST1106,20,,
626,ST1106,20,,
634,ST1106,20,,
625,ST1106,20,,
635,ST1106,20,,
624,ST1106,20,,
636,ST1106,20,,
637,ST1106,20,,
638,ST1106,20,,
639,ST1106,20,,
640,ST1106,20,,
641,ST1106,20,,
623,ST1106,20,,
630,ST1206,20,,
629,ST1206,20,,
631,ST1206,20,,
628,ST1206,20,,
632,ST1206,20,,
627,ST1206,20,,
633,ST1206,20,,
626,ST1206,20,,
634,ST1206,20,,
625,ST1206,20,강의실 A,엘베 d
635,ST1206,20,,
624,ST1206,20,,
636,ST1206,20,,
637,ST1206,20,,
