GroupIdx,GroupeType,GroupNode,,,,,,,,,,,,,,
RB6A,1,B601,B602,B603,,,,,,,,,,,,
B6A,2,ST01B6,,,,,,,,,,,,,,
B6B,2,EV03B6,EV04B6,EV05B6,ST02B6,,,,,,,,,,,
RB5A,1,B501,B502,,,,,,,,,,,,,
RB5B,1,B503,B505,,,,,,,,,,,,,
B5A,2,ST01B5,,,,,,,,,,,,,,
B5B,2,EV03B5,EV04B5,EV05B5,ST02B5,ST03B5,,,,,,,,,,
RB4A,1,B401,,,,,,,,,,,,,,
RB4B,1,B406,B407,B408,B409,B405,B404,,,,,,,,,
RB4C,1,B410,B412,B413,B414,B411,B415,,,,,,,,,
B4A,2,ST01B4,,,,,,,,,,,,,,
B4B,2,ST04B4,,,,,,,,,,,,,,
B4C,2,EV03B4,EV04B4,EV05B4,ST02B4,ST03B4,,,,,,,,,,
RB3A,1,B302,B303,,,,,,,,,,,,,
RB3B,1,B304,B305,,,,,,,,,,,,,
RB3C,1,B306,,,,,,,,,,,,,,
RB3D,1,B307,B308,B309,B310,B311,B312,B313,,,,,,,,
B3A,2,ST04B3,,,,,,,,,,,,,,
B3B,2,EV03B3,EV04B3,EV05B3,ST03B3,,,,,,,,,,,
B3C,2,EV06B3,EV07B3,EV10B3,,,,,,,,,,,,
B3D,2,EV11B3,EV12B3,ST05B3,ST06B3,,,,,,,,,,,
B3E,2,ST07B3,,,,,,,,,,,,,,
RB2A,1,B202,B203,B204,,,,,,,,,,,,
RB2B,1,B201,B206,B207,B205,,,,,,,,,,,
RB2C,1,B208,,,,,,,,,,,,,,
RB2D,1,B209,B210,B211,B212,B213,B214,B215,,,,,,,,
B2A,2,ST08B2,,,,,,,,,,,,,,
B2B,2,EV05B2,ST03B2,ST04B2,,,,,,,,,,,,
B2C,2,EV06B2,EV07B2,EV10B2,,,,,,,,,,,,
B2D,2,EV11B2,EV12B2,ST05B2,ST06B2,,,,,,,,,,,
B2E,2,ST07B2,,,,,,,,,,,,,,
RB1A,1,B101,B102,B103,B104,B105,B108,B109,B110,B111,,,,,,
RB1B,1,B112,B113,,,,,,,,,,,,,
RB1C,1,B114,B115,B116,B117,B118,B119,B120,,,,,,,,
B1A,2,ST08B1,,,,,,,,,,,,,,
B1B,2,EV05B1,ST03B1,ST04B1,,,,,,,,,,,,
B1C,2,EV06B1,EV07B1,EV10B1,,,,,,,,,,,,
B1D,2,EV11B1,Ev12B1,,,,,,,,,,,,,
B1E,2,ST08B1,,,,,,,,,,,,,,
R01A,1,107,105,,,,,,,,,,,,,
R01B,1,101,108,,,,,,,,,,,,,
01A,2,ST0801,,,,,,,,,,,,,,
01B,2,EV0101,EV0201,EV0301,EV0401,EV0501,ST0301,ST0401,ST0901,,,,,,,
0C1,2,ST1001,,,,,,,,,,,,,,
01D,2,EV0601,EV0701,EV0801,EV0901,EV1001,ST1101,ST1201,,,,,,,,
01E,2,EV1101,EV1201,ST0501,,,,,,,,,,,,
01F,2,ST0601,,,,,,,,,,,,,,
R02A,1,204,205,,,,,,,,,,,,,
R02B,1,201,203,202,,,,,,,,,,,,
R02C,1,212,211,207,206,,,,,,,,,,,
02A,2,ST0802,,,,,,,,,,,,,,
02B,2,EV0202,EV0502,ST0302,ST0902,,,,,,,,,,,
02C,2,ST1002,,,,,,,,,,,,,,
02D,2,EV0602,EV1002,ST1102,ST1202,,,,,,,,,,,
02F,2,ST0502,,,,,,,,,,,,,,
02G,2,ST0602,,,,,,,,,,,,,,
R03A,1,315,316,317,312,313,314,321,,,,,,,,
R03B,1,310,311,307,309,308,306,,,,,,,,,
R03C,1,318,320,319,,,,,,,,,,,,
R03D,1,333,334,335,336,301,302,303,304,305,,,,,,
R03E,1,322,323,324,325,326,327,328,329,330,331,332,,,,
03A,2,ST0803,,,,,,,,,,,,,,
03B,2,EV0103,EV0303,EV0503,ST0303,ST0903,,,,,,,,,,
03C,2,ST1003,,,,,,,,,,,,,,
03D,2,EV0603,EV0703,EV1003,ST1103,ST1203,,,,,,,,,,
03F,2,EV1103,ST0503,,,,,,,,,,,,,
03G,2,ST0603,,,,,,,,,,,,,,
R04A,1,414,410,411,415,416,417,418,419,,,,,,,
R04B,1,408,409,412,413,421,,,,,,,,,,
R04C,1,420,422,,,,,,,,,,,,,
R04D,1,423,437,438,439,440,441,401,402,403,404,405,406,407,,
R04E,1,430,429,431,428,432,427,433,426,434,425,435,436,424,,
04A,2,ST0804,,,,,,,,,,,,,,
04B,2,EV0204,EV0404,EV0504,ST0304,ST0904,,,,,,,,,,
04C,2,ST1004,,,,,,,,,,,,,,
04D,2,EV0604,EV1004,ST1104,ST1204,,,,,,,,,,,
04E,2,EV1204,ST0504,,,,,,,,,,,,,
04F,2,ST0604,,,,,,,,,,,,,,
R05A,1,514,511,515,516,517,518,,,,,,,,,
R05B,1,505,506,507,512,513,508,509,510,,,,,,,
R05C,1,519,520,521,522,523,,,,,,,,,,
R05D,1,524,538,539,540,541,542,501,502,503,504,,,,,
R05E,1,531,530,532,529,533,528,534,527,535,526,536,537,525,,
05A,2,ST0805,,,,,,,,,,,,,,
05B,2,EV0105,EV0305,EV0505,ST0305,ST0905,,,,,,,,,,
05C,2,ST1005,,,,,,,,,,,,,,
05D,2,EV0605,EV0805,EV1005,ST1105,ST1205,,,,,,,,,,
05E,2,EV1105,ST0505,,,,,,,,,,,,,
05F,2,ST0605,,,,,,,,,,,,,,
R06A,1,612,613,608,609,610,614,615,616,617,,,,,,
R06B,1,605,606,607,611,,,,,,,,,,,
R06C,1,618,619,620,621,622,,,,,,,,,,
R06D,1,601,602,603,604,637,638,639,640,641,623,,,,,
R06E,1,630,629,631,628,632,627,633,626,634,625,635,624,636,,
06A,2,EV0206,EV0406,EV0506,ST0306,ST0906,,,,,,,,,,
06B,2,ST0806,,,,,,,,,,,,,,
06C,2,ST1006,,,,,,,,,,,,,,
06D,2,EV0606,EV0706,EV1006,ST1106,ST1206,,,,,,,,,,
06E,2,EV1206,ST0506,,,,,,,,,,,,,
06F,2,ST0606,,,,,,,,,,,,,,
R07A,1,723,719,720,724,725,726,727,728,730,,,,,,
R07B,1,704,705,706,715,710,716,711,717,718,721,722,,,,
R07C,1,729,731,732,,,,,,,,,,,,
R07D,1,733,747,748,749,750,751,701,702,703,712,707,713,708,714,709
R07E,1,740,739,741,738,742,737,743,736,744,735,745,746,734,,
07A,2,ST0807,,,,,,,,,,,,,,
07B,2,EV0107,EV0307,EV0507,ST0307,ST0907,,,,,,,,,,
07C,2,ST1007,,,,,,,,,,,,,,
07D,2,EV0607,EV0907,EV1007,ST1107,ST1207,,,,,,,,,,
07E,2,EV1107,ST0507,,,,,,,,,,,,,
07F,2,ST0607,,,,,,,,,,,,,,
R08A,1,816,817,820,821,822,823,824,827,,,,,,,
R08B,1,804,805,806,807,808,810,811,812,813,814,815,818,819,,
R08C,1,825,826,828,,,,,,,,,,,,
R08D,1,843,844,829,845,846,847,801,802,803,809,,,,,
R08E,1,836,835,837,834,838,833,839,832,840,831,841,842,830,,
08A,2,ST0808,,,,,,,,,,,,,,
08B,2,EV0208,EV0408,EV0508,ST0308,ST0908,,,,,,,,,,
08C,2,ST1008,,,,,,,,,,,,,,
08D,2,EV0608,EV0808,EV1008,ST1108,ST1208,,,,,,,,,,
08E,2,EV1208,ST0508,,,,,,,,,,,,,
08F,2,ST0608,,,,,,,,,,,,,,
