nodeIdx,nodeName,nodeType
B601,B601,1
B602,B602,1
B603,B603,1
B501,B501,1
B502,B502,1
B503,전기실,1
B505,기계실,1
B302,관리실,1
B303,B303,1
B304,장애학생지원센터,1
B305,건강센터,1
B306,인권센터,1
B307,기도실,1
B308,B308,1
B309,App개발특성화센터,1
B310,B310,1
B311,B311,1
B312,B312,1
B313,B313,1
B201,중앙헤럴드,1
B202,UBS,1
B203,응원단,1
B204,제작자료실,1
B205,중대신문사,1
B206,B206,1
B207,예비군연대,1
B208,학생생활상담센터,1
B209,B209,1
B210,B210,1
B211,B211,1
B212,3D크리에이티브랩,1
B213,B213,1
B214,B214,1
B215,B215,1
B101,B101,1
B102,안전관리팀,1
B103,시설관리처장,1
B104,시설팀,1
B105,B105,1
B108,B108,1
B109,B109,1
B110,B110,1
B111,B111,1
B112,노동조합위원장실,1
B113,미래융합원,1
B114,프로젝트공간,1
B115,프로젝트공간,1
B116,프로젝트공간,1
B117,프로젝트공간,1
B118,프로젝트공간,1
B119,창의연구단,1
B120,창의연구단,1
630,박수원교수실,1
629,박광현교수실,1
631,이민하한진영교수실,1
628,홍원길김영주교수실,1
632,이현정이민정교수실,1
627,최우준교수실,1
633,노종석교수실,1
626,김상욱강취택교수실,1
634,정진곤교수실,1
625,홍철호교수실,1
635,이한림교수실,1
624,624,1
636,박세현교수실,1
637,권혁인교수실,1
638,정태경교수실,1
639,양원영교수실,1
640,고중혁교수실,1
641,박성규교수실,1
623,623,1
601,601,1
602,602,1
603,603,1
604,협상실습실,1
605,605,1
606,경제금융고시반1,1
607,컴퓨터실습실1,1
611,611,1
612,612,1
613,613,1
608,광고홍보학과학생회실,1
609,국제물류학과학생회실,1
610,팀플실3,1
614,교수회의실,1
615,전자전기공학부사무실,1
616,616,1
617,617,1
618,618,1
619,619,1
620,620,1
621,621,1
622,622,1
531,최혜진교수실,1
530,김석민교수실,1
532,이성민교수실,1
529,인정현교수실,1
533,신동준교수실,1
528,윤재영교수실,1
534,박중열교수실,1
527,조정욱교수실,1
535,구승범교수실,1
526,김동영교수실,1
536,김태형교수실,1
